Year,country,visits
2003,US,21
2004,US,9
2005,US,18
2006,US,17
2007,US,15
2008,US,32
2009,US,25
2010,US,9
2011,US,10
2012,US,7
2013,US,14
2014,US,21
2015,US,15
2016,US,19
2017,US,15
2018,US,8
2003,Russia,24
2004,Russia,23
2005,Russia,22
2006,Russia,23
2007,Russia,28
2008,Russia,27
2009,Russia,31
2010,Russia,39
2011,Russia,19
2012,Russia,20
2013,Russia,16
2014,Russia,23
2015,Russia,15
2016,Russia,18
2017,Russia,20
2018,Russia,19
2003,China,5
2004,China,15
2005,China,17
2006,China,11
2007,China,16
2008,China,10
2009,China,15
2010,China,10
2011,China,9
2012,China,6
2013,China,16
2014,China,19
2015,China,15
2016,China,15
2017,China,9
2018,China,12
